,created_at,text,reply_count,retweet_count,favorite_count
57,Fri Jan 15 23:36:12 +0000 2021,"https://t.co/SYUjZto2bQ

Get your course on Technological Innovations to Save the Earth

The course educates how to develop the tools to solve climate change, get it here:  https://t.co/NOfw5cafBj",0,0,0
58,Fri Jan 15 23:36:01 +0000 2021,Promising findings in the latest @YaleClimateComm @Mason4C Politics and Global Warming Poll. 80%+ support for renewables. 75% say rejoin the Paris Agreement (Republicans 55%). 72% transition US economy to clean by 2050. 74% regulate CO2 as a pollutant. https://t.co/X1EwNgtrYe,3,2,10
59,Fri Jan 15 23:36:00 +0000 2021,"The Bank of England told banks and businesses to start assessing the risks they face from climate change immediately, and brace to pay much more for polluting. #eutaxonomy #climatechange https://t.co/9AN07ll8DI",0,1,3
60,Fri Jan 15 23:35:40 +0000 2021,Only upside to global climate change ... https://t.co/S5hWG2V2o1,0,0,0
61,Fri Jan 15 23:35:19 +0000 2021,Bill Gates bids on jet firm while releasing climate change book https://t.co/IVs6jARozJ,0,0,0
62,Fri Jan 15 23:34:16 +0000 2021,"President-elect Biden has a climate mandate. 
The Senate has a climate mandate. 
The House has a climate mandate. 

Let’s get to work. 
https://t.co/BMY6tC2yyB",0,2,12
63,Fri Jan 15 23:34:01 +0000 2021,The simple food that fights climate change. via @BBC_Future https://t.co/q0nvjvPmyT,0,0,1
64,Fri Jan 15 23:33:47 +0000 2021,80 degrees in california in january...the republicans who were like “global warming where?” (it does not mean just warming but 🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️) all get 20 extra years in purgatory...,0,0,0
65,Fri Jan 15 23:33:19 +0000 2021,Oil giant splits from powerful lobbying group over climate change #SmartNews  https://t.co/VcZlOj6n9l,0,0,0
66,Fri Jan 15 23:33:05 +0000 2021,Advocate for Wilderness https://t.co/MhqTJjJsWP,0,0,0
67,Fri Jan 15 23:32:46 +0000 2021,"To my American friends: This affects not only America but the ENTIRE WORLD! Climate change, The Paris Accord, The Iran Nuclear Deal are just a few of the many reasons you CANNOT let something like this happen again! It's already precarious, 1 more push and we're off the ledge! https://t.co/7I0Hrj6GSG",0,0,2
68,Fri Jan 15 23:32:32 +0000 2021,"Coverage of the climate emergency is not what it should be, but it's way better than coverage of the ecological emergency. 

""Of 10 million stories published from 2007-2019, 1.39% refer to climate change while just 0.007% refer to pollinator declines”

https://t.co/bFq0QoWUow",0,3,4
69,Fri Jan 15 23:31:44 +0000 2021,"Left wing violence = ending systemic racism, giving everyone good healthcare, trying to drastically reduce gun violence, and reducing global emissions to combat global warming https://t.co/cTN2gyepOF",0,0,1
70,Fri Jan 15 23:31:33 +0000 2021,Remember when kpop twitter decided to combat global warming and wanted to all come together so everyone could do their bits for mother nature in the name of being a kpop stan? https://t.co/JskZpiIU2L,2,1,3
71,Fri Jan 15 23:31:04 +0000 2021,"This is great, and I hope it becomes more common with Trump gone. Dems and R's should be able to discuss/argue how to approach climate change. The debt. Tax policy.  Real debate. There is no discussion to be had re whether Dominion stole the election - that's fantasy. https://t.co/6FOR2AyA71",1,0,5
72,Fri Jan 15 23:30:54 +0000 2021,"there’s no snow on Toronto’s streets and some people still think the existence of climate change is a debate, rather than an objective fact. https://t.co/q44xNvV0lJ",0,1,4
73,Fri Jan 15 23:30:54 +0000 2021,Mobilising the capital of the wealthy will be essential to tackling climate change. Is a wealth tax the answer or are there other ways to incentivise green investment? https://t.co/V1ZQ3vsA7p,0,0,0
74,Fri Jan 15 23:30:52 +0000 2021,How most Democrats and Republicans feel about climate change https://t.co/vYgK2qt84p,0,0,0
75,Fri Jan 15 23:30:37 +0000 2021,"Liar in chief has done nothing except golf.  
Border wall - nope
Infrastructure- nope
Covid response - nope
Climate change - nope
Release taxes - nope https://t.co/qUQn10Whvn",0,0,0
76,Fri Jan 15 23:30:06 +0000 2021,"Me, a priapic twit: Trust me, foodies aren't over climate change. 
 
You, a cupcake: I hate polenta.",0,0,0
77,Fri Jan 15 23:30:00 +0000 2021,Governor Tony Evers' administration started to review building codes to update energy efficiency standards. The governor's climate change task force identified changing the codes as one of the most cost-effective ways to reduce WI greenhouse gas emissions. https://t.co/PiW8dp5ise https://t.co/Ub46GYRjmd,0,0,3
78,Fri Jan 15 23:28:35 +0000 2021,why does no one talk about how childe is responsible for inflation and climate change,1,0,6
79,Fri Jan 15 23:28:07 +0000 2021,you guys aren’t supposed to be happy it’s hot this is climate change &amp; is bad.,0,0,0
80,Fri Jan 15 23:27:56 +0000 2021,"“Climate-change denial, bias, and a Marxist under every bed of leaves characterize papers commissioned by energy campaigns inquiry” Paranoia pushing criminals? “Blesssd are the minds too small for doubt.”-Rick Priestley #ableg #cdnpoli #bcpoli #onpoli https://t.co/jzFNKTzobC",0,2,1
81,Fri Jan 15 23:27:47 +0000 2021,Trump administration delays increase in fines for automakers who fail to meet climate change standards https://t.co/hql1EJdt3X,0,0,0
82,Fri Jan 15 23:27:34 +0000 2021,"President @EmmanuelMacron has been a leader on climate change - now stepping up with +50% for @IFAD to help create jobs, protect biodiversity and fight hunger! Others should follow suit. Maybe champions like @erna_solberg @dagiulstein &amp; @MinPres @G20org?",0,0,0
83,Fri Jan 15 23:27:18 +0000 2021,"Emergency bushfire warning for Perth’s eastern suburbs | The New Daily https://t.co/CVaZ0XakJK its on again and still no climate change policy from the Morrison govt, and still backing fossil fuel i.e. gas, get angry Australia!",0,0,0
84,Fri Jan 15 23:27:01 +0000 2021,Raining in January in MINNESOTA????? Wallahi global warming sneaking up on us quick,0,0,7
85,Fri Jan 15 23:27:00 +0000 2021,Amy Coney Barrett’s dad began a 29-year career at Shell when she was 6. She was attending private prep school by the time the firm (and maybe her dad) grappled in secret with climate change. She has yet to recuse herself from Tuesday’s big climate case. https://t.co/eYQ1qYfjJD,0,0,0
86,Fri Jan 15 23:27:00 +0000 2021,"Five years ago, more than 150 heads of government gathered in an unprecedented show of support for global action to tackle climate change.

Read how climate change remains the most influential global framework for addressing Climate Change

https://t.co/VbhocV1Jjz",0,0,0
87,Fri Jan 15 23:26:52 +0000 2021,"I got one welcome our AI overlords. I feel the world is falling apart and I think we are beyond saving as a species unfortunately, plus most climatologists think we already passed the point of no return of reversing climate change.",0,0,5
88,Fri Jan 15 23:26:26 +0000 2021,Oregon sees a bill that would use state land-use planning to fight climate change. https://t.co/SSwcI1XwcZ,0,1,2
89,Fri Jan 15 23:26:10 +0000 2021,"Did a SUV drive up and provide its oppinions as well?
HTF does a concept like ""climate change"" provide any legal advice whatsoever? https://t.co/Q94NvtfivT",0,0,0
90,Fri Jan 15 23:25:11 +0000 2021,Hiya environmentalists! Your number one carbon emitting company Amazon produces 44.4 MILLION metric tons of carbon dioxide😖! You'll never guess that  climate change is a real thing!  Find out what else is swept underneath the rug!,0,0,0
91,Fri Jan 15 23:25:03 +0000 2021,"Sustainably managed livestock populations are also very much part of the solution to the climate change challenge, and play a significant role in our ecosystems. Check out the #RealDirt on Livestock and the Environment to learn more. #CultivatingTrusthttp://ow.ly/4Ebj50CsH6F https://t.co/4HXTCiYHzj",0,0,3
92,Fri Jan 15 23:24:51 +0000 2021,"Science like the earth is flat?
Like global warming?
Science like smoking was ok?
Science like the old food pyramid. 

Science is/has been wrong a LOT. https://t.co/kKb1f3NTWv",0,0,0
93,Fri Jan 15 23:24:49 +0000 2021,HUGE thanks to @HSCompost for endorsing a national carbon fee and dividend policy as the best next step towards mitigating climate change! (And a smaller thanks for picking up my compost this week.) https://t.co/EwFUgAuAVP,1,0,2
94,Fri Jan 15 23:24:04 +0000 2021,"To anyone who tells me I need to care about climate change, I will first ask if you accept sex is immutable. You want me to recycle? Then show me you accept reality. I am not saying whether I do or do not recycle, I am just saying you need to be principled to argue on principle.",2,1,24
95,Fri Jan 15 23:23:59 +0000 2021,Idk but this global warming shit dope for that one https://t.co/UvKwYFPrJe,0,0,0
96,Fri Jan 15 23:23:31 +0000 2021,it’s hot in california for some reason(global warming is a hoax remember? lol) so that means i get to wear my lakers shorts again 😁,0,0,1
97,Fri Jan 15 23:22:00 +0000 2021,"this time at the end of gestation, where we feel suffocated &amp; living in a toxic environment, is the root of our unconscious desire to manifest &amp; live with pollution, as well as of a global warming

https://t.co/4g457BWdso #psychology #EarthDay #pollution #climate #climatechange",0,1,1
98,Fri Jan 15 23:21:55 +0000 2021,Climate change is really our alien overlords overclocking the simulation's processor to make things run faster,0,0,8
99,Fri Jan 15 23:21:15 +0000 2021,I am preparing jay as I despair over climate change.,0,0,0
100,Fri Jan 15 23:21:06 +0000 2021,"#ScienceIsBack 
#Cannabis green leafy vegetable we eat so God can heal the nation ~ Or more funnel more money to top 10% and protect #JimCrow #Prohibition of Food and not provide #Healthcare violates #HumanRights ~ Fracking causes Climate Change we knew 1970s it's 2021 now https://t.co/fhLBEGfCLS",0,0,0
101,Fri Jan 15 23:20:52 +0000 2021,I’m wearing shorts in January. Leave it to middle-aged white woman at the grocery store to comment on it. Google global warming u fuckin dinosaur.,0,0,2
102,Fri Jan 15 23:20:11 +0000 2021,"#AI will be integral to the research, testing, and discovery of methods to improve climate change strategy. Forbes shared how: https://t.co/PqY8pmxuYK

#smartcity #automation #ML #DL https://t.co/w0t642aoMv",0,4,1
103,Fri Jan 15 23:20:10 +0000 2021,"#AI will be integral to the research, testing, and discovery of methods to improve climate change strategy. Forbes shared how: https://t.co/P2zzDXvk3L

#smartcity #automation #ML #DL",0,2,1
104,Fri Jan 15 23:20:07 +0000 2021,Most Democrats and Republicans think the government should make climate change a priority  https://t.co/zvw0mqKrsH https://t.co/ryda3iRjk3,0,0,0
105,Fri Jan 15 23:20:00 +0000 2021,"""It is no longer tenable to think of #security as only about #defence from armed attacks. An ""extended state"" mindset is now required, whereby security is a partnership involving all tiers of government, relevant business sectors and wider society. ""

https://t.co/DP63NIfNLV https://t.co/XPlvnKY4jN",0,0,0
106,Fri Jan 15 23:20:00 +0000 2021,"If you want to do your part in protecting our planet from pollution, climate change, and the general destructive nature of us humans, one of the first things you can do is take a hard, honest look at your daily habits.  #Food #Health

https://t.co/5KqYfts5hL https://t.co/IBSt7KH0SF",0,0,0
107,Fri Jan 15 23:19:40 +0000 2021,"Two massive hurricanes, worsened by climate change, decimated Honduras. These folks are some of the first climate refugees. As the world’s largest historical carbon polluter we have a responsibility to help these refugees and help them rebuild. https://t.co/6yUhMeogjV",1,4,20
108,Fri Jan 15 23:19:18 +0000 2021,Climate Change Survey: Majority of Voters Support Initiatives https://t.co/J2W17EhTzA,0,0,0
109,Fri Jan 15 23:18:55 +0000 2021,"So many losses this past year. Adam. The great John Houghton. My Cambridge advisor, Nigel Weiss who did so much to help me get launched on stability theory. And Freeman Dyson. Someday I'll have to tell you abt my attempts to engage Freeman on global warming.",2,2,25
110,Fri Jan 15 23:18:38 +0000 2021,You can't tell me there is no global warming. It's 94 degrees here today. That's about 34 Celsius. 🔥 https://t.co/zAG6MMBuIp,0,0,3
111,Fri Jan 15 23:18:27 +0000 2021,Climate Change Is Worsening Malnutrition – we can do more to change the paradigm and ensure a brighter future https://t.co/F8L6sHJ3BF,0,0,0
112,Fri Jan 15 23:18:17 +0000 2021,"In the 80s we were terrified by the holes in the ozone layer and acid rain because they were an imminent threat to human existence.  You never hear about either of them.  But global warming, that's a real threat.",0,0,0
113,Fri Jan 15 23:17:45 +0000 2021,"How to sound like a dumbass leftist 101:

- telling people what to do with their money
- whining about rich ppl &amp; carbon footprints
- telling people they are harming the environment upgrading their homes
- threatening people that climate change will ""take care of them"" https://t.co/ZNLp5yvkf9",0,0,0
114,Fri Jan 15 23:17:26 +0000 2021,How most Democrats and Republicans feel about climate change https://t.co/7wKjNLhxNR @jarielarvin @voxdotcom @ExtinctionRebel @XRebellionUK @ExtinctionR @ExtinctionReb20 @XrCymru #ClimateEmergency #TellTheTruth #ActNow #WeWantToLive,0,0,1
115,Fri Jan 15 23:17:23 +0000 2021,"Open SmartNews and read ""NASA drops an unsettling new video"" here: https://t.co/hCbLGfbtNZ 
To read it on the web, tap here: https://t.co/AEvlIOK8Cm",0,0,0
116,Fri Jan 15 23:16:53 +0000 2021,"The Stratospheric Controlled Perturbation Experiment, launched by Harvard U scientists, aims to spray calcium carbonate ‘dust’ into the atmosphere to block the sun — hoping that a sun-reflecting aerosol that may offset the effects of global warming.  https://t.co/PTdwI2prIU",0,1,0
117,Fri Jan 15 23:16:41 +0000 2021,"But conservatives love to say we don’t have global warming because it still snows, right? #ClimateCrisis https://t.co/pnUtiqqdkt",0,0,0
118,Fri Jan 15 23:16:38 +0000 2021,"I believe in scientists who tell us that climate change is a real threat to our future. 

But, I also believe energy industry lobbyists who tell us cutting emissions is a real threat to their shareholders' portfolios. 

🛢️🤷",1,0,4
119,Fri Jan 15 23:16:37 +0000 2021,Climate change through government procurement: A wise and popular plan by Biden. https://t.co/fk6mf1HCQK,1,0,3
120,Fri Jan 15 23:16:33 +0000 2021,Gojo baby that is NOT how global warming works😭😭😭,0,0,0
121,Fri Jan 15 23:16:10 +0000 2021,"imagine what they'll think of governments that say it's too expensive to adapt our way of life to prevent global warming, and turn around and shovel $$$$ to oil companies https://t.co/TN6QFq1iwj",0,0,2
122,Fri Jan 15 23:16:01 +0000 2021,"Let’s make 2021 a year of #climateaction. #ClimateFriday
https://t.co/STmduxwHuM",0,2,2
123,Fri Jan 15 23:15:42 +0000 2021,"BBC News - Climate change: 'Exceptionally hot' 2020 concludes warmest decade
https://t.co/7yMQwaZe0O",0,0,0
124,Fri Jan 15 23:15:34 +0000 2021,Boston wants to change zoning rules to prepare for rising seas https://t.co/wCrqcULmoD,0,0,0
125,Fri Jan 15 23:15:12 +0000 2021,Our story doesn't end from climate change. But this will be our biggest *collective* hurdle by far as a species.,1,0,0
126,Fri Jan 15 23:15:07 +0000 2021,"What a terrific scientific team for the Biden/Harris administration! So excited and happy to see science front and center again! Having a strong team is critical for us to address so many key issues: covid, climate change, technology of so many kinds. https://t.co/uvE7CUGOec",0,0,1
127,Fri Jan 15 23:14:52 +0000 2021,"I know this weather is because of climate change but I love it, my anemic ass hates cold weather",0,0,0
128,Fri Jan 15 23:14:44 +0000 2021,"Total withdraws from @APIenergy.  API has a long history of climate denial and spends $$$ lobbying NYS legislators on climate bills. @NYRenews
https://t.co/12oV2VisS6",0,4,8
129,Fri Jan 15 23:14:18 +0000 2021,"President @EmmanuelMacron has been a leader on climate change - now stepping up with +50% for @IFAD to help create jobs, protect biodiversity and fight hunger! Others should follow suit. Maybe champions like @erna_solberg @dagiulstein &amp; @MinPres @G20org?",0,0,0
130,Fri Jan 15 23:14:13 +0000 2021,Climate Change bill struck down in Massachusetts by governor.  https://t.co/HV5ZJGnhEC,0,0,0
131,Fri Jan 15 23:13:46 +0000 2021,After a whole year we are still in this pandemic. The problem should  be resolved by listening to science but our politicians who are in charge keep using “Economy” to wrestle with science. They argue income over life. Same as climate change. When will we stop buying?,0,0,0
132,Fri Jan 15 23:13:41 +0000 2021,"It’s nice outside and all, but this weather is a great reminder of global warming y’all. She’s real.",1,1,1
133,Fri Jan 15 23:13:31 +0000 2021,New questions were posted today and climate change is the only topic we did that they haven’t given us a question for and I feel personally victimised https://t.co/XSGEkwGuLN,0,0,3
134,Fri Jan 15 23:13:29 +0000 2021,People get tired of the lies. Global warming has been nothing but wealth redistribution for the elite few. With all the massive lockdowns there was no change in CO2 yet those in the know know that CO2 is beneficial for growth and necessary for life. https://t.co/yKqNkt7U1E,0,2,1
135,Fri Jan 15 23:12:42 +0000 2021,"""Ok so I have thought about it properly and after careful consideration what we need to do to fight global warming is put some big monolith Airstones up the coastlines!!! We have this Big Tank of Ammonia Sitting flat on top of the Ocean that could be thinned out pretty properly!""",0,0,0
136,Fri Jan 15 23:12:14 +0000 2021,Climate Change Case Raises Recusal Questions Involving Justice Barrett https://t.co/kXNHgZTMDH,0,1,2
137,Fri Jan 15 23:12:09 +0000 2021,What if block chain  reduce  unemployment in climate change affected areas in Nepal  ...,0,0,0
138,Fri Jan 15 23:12:07 +0000 2021,Most Democrats and Republicans think the government should make climate change a priority - Vox https://t.co/cFEID5KAFG,0,3,18
139,Fri Jan 15 23:11:56 +0000 2021,"Yes, I've heard of global warming or warning or whatever, but let's be real, if you take away my plastic straws, what am I gonna drink my frappuccino with??",0,0,0
140,Fri Jan 15 23:11:06 +0000 2021,"I repeat my earlier assertion. Any job that's in the gift of politicians is a political appointment. On everything from COVID to climate change, I very much hope to be proven wrong on this. https://t.co/AZ2iiYTqLn",0,0,1
141,Fri Jan 15 23:11:02 +0000 2021,"Working with a team of #researchers from @NASA and #Google, Liza Goldberg has created an educational program called Cloud to Classroom that uses #satelite imagery to make the science of global climate and environmental change simpler and more accessible. https://t.co/QZTpjq4ja6 https://t.co/YKThy3puzn",0,2,4
142,Fri Jan 15 23:10:48 +0000 2021,"Climate Crisis:

""Snows are less frequent and less deep... The rivers, which then seldom failed to freeze over in the course of the winter, scarcely ever do so now.”

Thomas Jefferson, 1798 :-/
https://t.co/tCZJy49GUV

@DawnTJ90 #GretaThunberg #ClimateCrisis @guardianeco @tan123",2,13,20
143,Fri Jan 15 23:10:35 +0000 2021,"I’m pissed that we didn’t have one bit of winter in LA! Like excuse me global warming, you could’ve given me a good month to enjoy real winter! 🥴🥺",1,0,0
144,Fri Jan 15 23:10:24 +0000 2021,Governor Baker's veto of the omnibus climate change legislation is disappointing &amp; shortsighted. Communities like Winthrop &amp; Revere deserve strong climate policy that centers coastal &amp; environmental justice communities like ours. 1/2,1,16,77
145,Fri Jan 15 23:10:12 +0000 2021,"#AI will be integral to the research, testing, and discovery of methods to improve climate change strategy. Forbes shared how: https://t.co/voQwmEHXGs

#smartcity #automation #ML #DL",0,0,0
